file,kind,gt_m,img_w,img_h,det_ms,conf,bbox_h_px,bbox_w_px,clipped,f_norm,distA_m,distB_m,depth_ms,errA_m,errA_pct,errB_m,errB_pct
front_4.05.jpg,front,4.05,4284,5712,5595.5,0.939,2477.5,4221.2,False,0.937,3.621,7.278,698.6,0.429,10.585,3.228,79.696
front_4.95.jpg,front,4.95,4284,5712,99.9,0.955,2007.5,3594.5,False,0.928,4.469,8.324,424.9,0.481,9.715,3.374,68.17
front_5.85.jpg,front,5.85,4284,5712,107.2,0.966,1790.1,3212.4,False,0.978,5.012,9.712,563.7,0.838,14.327,3.862,66.023
rear_1.8.jpg,rear,1.8,4284,5712,107.9,0.912,3831.1,3481.9,False,0.767,1.982,4.123,506.0,0.182,10.114,2.323,129.035
rear_2.7.jpg,rear,2.7,4284,5712,109.6,0.976,2812.4,2450.2,False,0.844,2.68,7.963,428.2,0.02,0.753,5.263,194.925
rear_3.6.jpg,rear,3.6,3024,4032,63.5,0.954,1441.1,1282.0,False,0.817,3.719,7.755,310.1,0.119,3.317,4.155,115.413
rear_4.5.jpg,rear,4.5,3024,4032,58.7,0.952,1160.7,987.2,False,0.823,4.618,9.752,582.0,0.118,2.621,5.252,116.711
rear_5.4.jpg,rear,5.4,3024,4032,65.2,0.9,985.1,836.1,False,0.838,5.441,14.01,228.5,0.041,0.762,8.61,159.449
sign_0.9.jpg,sign,0.9,4284,5712,104.4,0.666,720.6,459.8,False,0.757,1.004,1.999,555.6,0.104,11.509,1.099,122.115
sign_1.8.jpg,sign,1.8,4284,5712,113.0,0.309,390.8,262.6,False,0.821,1.851,3.272,444.1,0.051,2.806,1.472,81.763
sign_2.7.jpg,sign,2.7,4284,5712,140.4,0.497,268.9,176.5,False,0.847,2.669,5.012,637.4,0.031,1.142,2.312,85.617
sign_3.6.jpg,sign,3.6,4284,5712,106.0,0.45,214.3,133.2,False,0.901,3.349,7.083,664.3,0.251,6.966,3.483,96.745
sign_4.5.jpg,sign,4.5,4284,5712,107.6,,,,False,,,,533.1,,,,
sign_5.4.jpg,sign,5.4,3024,4032,64.6,,,,False,,,,482.8,,,,
sign_6.3.jpg,sign,6.3,4284,5712,109.4,,,,False,,,,498.7,,,,
